Companies,URL,CBInsightsDescription,QuidDescription,CrunchbaseDescription
30SecondsToFly,30secondstofly.com,"30SecondsToFly provides travel management solutions for corporations. Its technology Claire is a virtual employee that automates and manages travel for organizations. Claire, an AI features of the corporate software ecosystem, tracks and controls travel while keeping corporate travel expenses low.On October 8th, 2020, 30SecondsToFly was acquired by American Express Global Business Travel. Terms of the transaction were not disclosed.","30SecondsToFly Inc. develops a travel management platform that centralizes travel policy, automates and controls corporate travel, provides travel analytics. The company was incorporated in 2015 and is based in San Carlos, California. As of October 8, 2020, 30SecondsToFly Inc. operates as a subsidiary of GBT Travel Services UK Limited.",A.I. Powered Travel Agency Automation
3DLOOK,3dlook.me,"3DLOOK provides AI-first mobile body measuring, size recommendation, fit, and virtual try-on solutions. 3DLOOK is a global company with headquarters in the USA, and 4 R&D centers in Ukraine, UK, and Silicon Valley.The company's solutions enable personalized shopping experiences based on a consumer’s body profiles to drive conversion and reduce returns. Its body data analytics gives brands insights to retarget shoppers based on actual and accurate body shape and measurement data which is also being used to optimize design, product development, creating more sustainable business models.","3DLOOK Inc. develops artificial intelligence technology solutions to scan and measure the human body for use in the apparel industry. The company's products include Mobile Tailor, a solution for contactless measuring tool for made-to-measure and custom-fit businesses; YourFit, a solution for fit and sizing solution for fashion and uniform retailers and e-commerce; and Uniform Pro, a size management system for uniform manufacturers and their sales and retail network. 3DLOOK Inc. was founded in 2016 and is based in San Mateo, California with additional offices in Odessa and Kiev, Ukraine.",3DLOOK is a mobile body scanning solution that aims to change the way people shop.
A-Life Medical,alifemedical.com,A-Life Medical aims to provide software solutions that use natural language processing to convert electronic patient records into billing codes for reimbursement.,"as of July 01, 2014, A-Life Medical, Inc. was acquired by Optum360, LLC. A-Life Medical, Inc.develops and provides natural language processing software solutions and technologies to the healthcare industry. It offers Alacer, a practice management system that provides document management, computerized medical coding, billing, collections, denials management, and auditing services. The company also designs Actus, a computerized coding and coder management solution and CoAudit, a coding audit software tool. Additionally, the company integrates alternate data capture modes including document image processing (DIP), optical character recognition (OCR), and automated speech recognition (ASR). The company was founded in 1996 and is headquartered in San Diego, California.",A-Life Medical provides natural language processing technologies and solutions for the healthcare industry.
A4Vision,a4vision.com,"A4Vision (Applications for Vision) develops and licenses advanced identification systems and solutions for tracking and targeting camera systems and breakthrough 3D face recognition technology. A4Vision products are designed for broad security applications such as surveillance and access control, law enforcement and commercial markets such as PC and Internet applications. A4Vision's 3D facial biometric and camera tracking systems are based on a combination of patented optical technology, targeting and tracking software, and recognition algorithms. Through innovations in the 3D data capturing and processing capabilities, these systems permit industry-leading accuracy in real-time facial recognition and tracking.","As of March 14, 2007, A4Vision, Inc. was acquired by Bioscrypt, Inc. A4Vision, Inc. develops biometric solutions for transit, airport security, government, hospitality, financial, civil ID, and sporting event security industries. It offers vision access 3D face readers, vision access enrollment stations, and vision ICAO 2D/3D cameras. The company also provides Vision 3Di, a 3D integration module, which provides the capability to add 3D facial biometrics with an existing access control system; and Vision Access 3D/2D Enrollment Application that is used to perform enrollment of the 3D face images and for storage and distribution. In addition, it offers SecureSite, a scalable access control and alarm management solution; and Vision SDK, which enables application development for configuration, network monitoring, deployment, and integration. A4Vision offers its products for use in security applications, such as physical access control, time and attendance, border control, ePassport, and Visa programs. The company was founded in 2001 and is headquartered in Sunnyvale, California.",A4Vision is a provider of identification software and 3-D facial imaging products.
Aarki,aarki.com,"Aarki helps companies grow and re-engage their mobile users, using AI and engaging creativity. It strives to deliver performance at scale across different marketing objectives to meet the target return on investment. The company's data offer deep insights into user intent and usage habits.On June 2nd, 2021, Aarki was acquired by Skillz at a valuation of $150M.","Aarki, Inc. provides mobile application advertising solutions for agencies, application developers, advertisers, and publishers in game, shopping, lifestyle, and travel markets worldwide. The company was founded in 2010 and is based in Mountain View, California. It has additional offices in Beijing, Los Angeles, Jakarta, Seoul, Singapore, Manila, New York, Tokyo, and Yerevan, as well as in Vietnam.","Aarki helps companies grow and re-engage their mobile app customers, using data, machine learning, and large customer reach."
Aatonomy,aatonomy.com,Aatonomy develops machine learning software to be compatible with drones that runs on a user's smartphone.,"Aatonomy Inc. designs and develops software solution to connect to robots and drones wirelessly and provide them artificial intelligence. The company was founded in 2016 and is based in San Francisco, California.",Aatonomy is a software designed to give autonomous capabilities to any kind of robots and drones.
Aavenir Software,aavenir.com,Aavenir Software aims to deliver smart solutions in the form of SaaS-based application suites to global enterprises. Aavenir’s Contractflow - Contract Lifecycle Management (CLM) product solves text analytics problems for risk and obligation management. Invoiceflow - Accounts Payable (AP) automation product solves multi-vendor invoice data extraction and processing problems by harnessing the power of AI & ML technologies.,"Aavenir Software Pvt. Ltd develops Software-as-a-Service based Source-to-Pay solutions. Its ML engine learns different invoice formats, payment terms, and auto-extract vital information, including invoice number, item codes, order quantities, unit price, taxes, amounts payable, discounts, currencies, etc. The AI-enabled solution validates the invoices information against POs, GRNs, and contract data to ensure the accuracy of data being ingested on a ServiceNow platform. Aavenir Software Pvt. was founded in 2019 and is based in Ahmedabad , India with additional office in San Francisco, California.",Aavenir is a software-as-a-service-based source-to-pay solutions provider.
Abacus.AI,abacus.ai,Abacus.AI helps enterprises make better use of AI by empowering developers to build custom models from data sets.,"Abacus.AI, Inc. offers cloud artificial intelligence (AI) services to help companies to embed deep learning models into their business processes or customer experiences. It offers research and product development services in the areas of AI for IT operations, marketing and sales AI, fraud and security, recommender AI, forecasting and planning, and predictive modeling. Abacus.AI, Inc. was formerly known as RealityEngines.AI, Inc. and changed its name to Abacus.AI, Inc. in July 2020. The company was incorporated in 2019 and is based in San Francisco, California.",Abacus.AI is a San Francisco-based artificial intelligence research and AI cloud services company.
Ablacon,ablacon.com,"Ablacon builds a machine intelligence system to quantitatively and qualitatively understand and treat atrial fibrillation (AF). The company's algorithm uses artificial intelligence (AI) to analyze and visualize the flow of action potentials, or Electrographic Flow, within the heart in order to identify sources and drivers of AFib.","Ablacon Inc. manufactures machine intelligence systems to quantitatively understand and treat atrial fibrillation. Its system is used to localize and characterize the sources of AFib, and to guide targeted therapy by visualizing the electrographic flow within the cardiac chambers. Ablacon Inc. was founded in 2015 and is based in Wheat Ridge, Colorado.",Ablacon is a provider of AI-guided atrial fibrillation therapies.
ACTIV Surgical,activsurgical.com,Activ is a developer of software to augment surgeons.  It has developed an AI/ML platform called ActivEdge which is designed to provide real-time intelligence and visualization to surgeons.,"Activ Surgical Inc. develops surgical robots. The company also develops a robotic surgery platform by using computer vision, artificial intelligence, and robotics to assist surgeons in complex procedures. Activ Surgical Inc. was formerly known as Omniboros Inc. and changed its name to Omniboros Inc. in June 2017. The company was founded in 2014 and is based in Boston, Massachusetts.","Activ Surgical is a digital surgery company focused on improving surgical efficiency, accuracy, patient outcomes, and accessibility."
