Companies,URL,CBInsightsDescription,QuidDescription,CrunchbaseDescription
Aceable,aceable.com,Aceable is a mobile education platform that provides driving courses for customers based on their specific state's standards.,"Aceable Inc. develops a mobile education platform that offers accredited education courses. Its application provides traffic law and substance abuse education courses for people in Florida; teens driving courses for people in Texas; adult driving courses for people in Texas; defensive driving courses for various ages; and to real estate pre-licensing. Aceable Inc. was formerly known sxtyscnds' inc. and changed its name to Aceable Inc. in September 2015. The company was incorporated in 2012 and is based in Austin, Texas with operations in Georgia.",Aceable is an online education startup that offers state-approved drivers education and real estate courses.
Age of Learning,ageoflearning.com,"Age of Learning provides a comprehensive and engaging online curriculum for preschool, kindergarten, and early elementary school programs. Age of Learningâ€™s flagship product in the U.S., ABCmouse.com Early Learning Academy, is a comprehensive curriculum for preschool through second grade, available on all major digital platforms and used by tens of millions of children to date.","Age of Learning, Inc. offers online education resources. The company operates ABCmouse.com Early Learning Academy and ABCmouse English Learning Academy. It also operates ABCmouse Assessment Center that enable parent to assess their childrenÂ’s knowledge, skills, and abilities in the areas of language, literacy, and math with assessments. The company offers ReadingIQ digital library, online books, educational games, puzzles, art activities, and printable on art illustrations. The company's platform offers traditional original stories, fiction books, and provides jigsaw cutout puzzles to develop problem solving critical thinking skills. The companyÂ’s platform offers art activities, including coloring pages, dot-to-dots, paint-by-number, traceable, mazes, and printable. It develops interactive farms, aquariums, and zoos that allow students to interact with realistic zoo animals, including elephants, lions, monkeys, zebras, penguins. It provides ABCmouse.com Early Learning Academy to libraries, community centers, preschool, pre-k, and early elementary classrooms in public private schools. Age of Learning, Inc. was incorporated in 2007 is based in Glendale, California.","Age of Learning provides a comprehensive and engaging online curriculum for pre-k, kindergarten, elementary, and middle school programs."
Agilix,agilix.com,"Agilix was founded in 2001 to develop cloud-based education solutions that enable more meaningful and effective ways for students and educators to take control of the learning experience. Agilix provides xLi, an eXtensible Learning Infrastructure for Partners; BrainHoney, a CODiE award-winning Learning Management System for schools and universities; and Agilix Buzz, a Personalized Learning System for student-centered, competency based learning programs. Pioneering learning solutions built upon the Agilix eXtensible Learning Infrastructure have been used by millions of learners in more than 60 countries.","As of February 28, 2006, Agilix Corporation was acquired by PerkinElmer Inc. Agilix Corporation develops genomics and proteomics platform technologies for the systematic discovery and analysis of genes, protein products, and related biological functions. It offers GenCompass, a genome microarray platform that profiles genes of various organisms; and i-PROTTM Labeling technology, a protein labeling technology that allows protein profiling, in vivo labeling, and throughput assay development. Agilix Corporation was founded in 1999 and is based in New Haven, Connecticut.","Agilix provides cloud-based education products and services based on it's xLi, the Extensible Learning Infrastructure."
Altitude Learning,altitudelearning.com,Altitude Learning is helping districts and schools modernize their education models and prepare students for the future. Its network of more than 46 public district and independent school partners rely on professional learning services and technology platform to help build a learner-centered education model.,"Altitude Learning & Development Limited offers education services. Altitude Learning & Development Limited was incorporated in 2006 and is based in Denmead, United Kingdom.",AltSchool is a network of schools with an interdisciplinary team aimed at offering experimental learning.
Apex Learning,apexlearning.com,"Apex Learning is a provider of blended and virtual learning solutions to the nation's schools. The company's digital curriculum provides an active learner experience that engages all students in rigorous coursework to prepare them for college and work. The standards-based digital curriculum - in math, science, English, social studies, world languages, and Advanced Placement - is widely used for original credit, credit recovery, remediation, intervention, acceleration and exam preparation.","Apex Learning Inc. offers standards-based digital learning solutions, including comprehensive courses and tutorials for secondary education. The company offers digital courses that include math, science, English, social studies, world languages, electives, CTE, and technology courses; middle school tutorials; high school tutorials for English, math, biology, and U.S. history; and college readiness and high school equivalency tutorials that target the skills and concepts needed for success on national exams. The company also offers courses on homebound, summer school, credit recovery, and advanced studies; implementation planning services; initial and ongoing professional development for teachers and administrators, and virtual school quick-start services; daily progress monitoring services; marketing services; administrative support services; and virtual school implementation services. Its courses meet high school graduation requirements and are used by schools nationwide for initial credit and credit recovery. Apex Learning Inc. was formerly known as Apex Online Learning, Inc. The company was founded in 1997 and is based in Seattle, Washington.",Apex Learning is a provider of digital curriculum for secondary education schools in the U.S.
BetterUp,betterup.com,"BetterUp operates as a mobile-based leadership development platform. Through on-demand, virtual coaching sessions, users can practice and reinforce new behaviors, mindsets and skills. Individual growth is measured and tracked.","BetterUP, Inc. provides a leadership development platform for companies. It offers an online platform that identifies new behaviors and mindsets that enable high performance amid constant and accelerating change through on-demand virtual coaching sessions, users practice, and reinforce new behaviors and skills. The company was incorporated in 2013 and is based in San Francisco, California.",BetterUp is a mobile-based leadership development platform used by Fortune 500 companies.
Bitwise Industries,bitwiseindustries.com,"Bitwise Industries is a tech ecosystem, activating human potential to elevate the technology industry in Fresno, CA. The company operates Geekwise Academy, which teaches people to code and focuses on building on-ramps for those traditionally left out of the technology industry.","Bitwise Industries Inc. operates as a technology ecosystem company. It operates an academy that teaches people to code and focuses on building on-ramps for those left out of the technology industry. The company also builds tech venues and lease spaces for technologists, technology companies, and others. In addition, it operates a custom software development shop that pairs senior talent with entry-level programmers to build and deliver software solutions. The company was founded in 2013 and is based in Fresno, California with additional locations in Bakersfield, Merced, and Oakland, California and Toledo, Ohio.",Bitwise is a tech ecosystem that provides access to resources for those in marginalized communities.
Blackboard,blackboard.com,"Blackboard is an education technology company that provides enterprise technology and solutions for teaching, learning, and student engagement. Blackboard's solutions allow higher education, K-12, professional, corporate, and government organizations to extend teaching and learning online, facilitate campus commerce and security, and communicate more effectively with their communities. Founded in 1997, Blackboard is headquartered in Washington, D.C., with offices in North America, Europe, Asia, and Australia.","Blackboard ConnectTxt provides notification services. It offers Blackboard ConnectTxt, a two-way SMS service to send and receive text messages to multiple people from a computer or a smartphone; and Blackboard Connect 5, an enterprise-level, multimodal, multilingual mass notification service for education, government, and private sector institutions worldwide. The company also provides XML Connector for Web and application developers to interface their own applications with ConnectTxt services; SOAP Connector that enables developers to manage address books remotely; and email2txt, an application for developers, which allows email to be delivered to various mobile phone handsets as a text message. In addition, it offers Connect Data Uploader, an application for developers to automatically update the contact details in their address book from their institution's existing database; and programming APIs to integrate ConnectTxt functionality into a developerÂ’s existing application. Blackboard ConnectTxt was formerly known as txttools limited and changed its name to Blackboard ConnectTxt in February 2012. The company was founded in 2001 and is based in London, United Kingdom. As of January 31, 2011, Blackboard ConnectTxt operates as a subsidiary of Blackboard Connect Inc.",Blackboard provides enterprise technology and innovative solutions that enhance teaching and learning methods.
BrightBytes,brightbytes.net,"BrightBytes delivers tools and services that measure the impact of technology use on learning. The Clarity for Schools platform captures the link between school technology use and student achievement. This platform is informed by the close collaboration between educational researchers, school practitioners, data scientists, statisticians, and experienced system dynamics modelers.","BrightBytes Inc. operates a SaaS-based data analytics platform that measures and links technology use in education to learning outcomes. It gathers ideas and creates evidence-based frameworks that are combined with data from a clientsÂ’ school or region giving them the tools to understand and improve student learning outcomes. The companyÂ’s platform provides information, such as intuitive infographics, data, actionable next steps, peer networks, and targeted stakeholder reports, as well as tracks and communicates progress for educational leaders. Its solutions address the unique needs of educational leaders, including government, service agencies, districts, and schools worldwide. The company was founded in 2012 and is based in San Francisco, California.",BrightBytes is a SaaS-based data analytics platform that measures and links the use of technology to learning outcomes.
Cambly,cambly.com,Cambly's app gives English learners instant 1-on-1 access to native speakers over video chat 24/7. Students get a convenient way to practice their English and gain confidence. Tutors get to make money helping people from around the world practice English.,"Cambly Inc. develops a mobile application that connects students who want to learn a language with a native speaker who can help them learn. The company was incorporated in 2013 and is based in the San Francisco, California.",On-demand access to English tutors over video chat.
