Companies,URL,CBInsightsDescription,QuidDescription,CrunchbaseDescription
1-800 Contacts,1800contacts.com,"1-800 Contacts offers consumers an attractive alternative for obtaining replacement contact lenses in terms of convenience, price, and speed of delivery.","1-800 CONTACTS, Inc. engages in the online retail of lenses to consumers in the United States. The company retails toric, multifocal and bifocal, color and enhancing, disposable, soft, and vial lenses, as well as eye care solutions. It also develops an app that helps in uploading prescription and conducting online vision exam. The company was founded in 1995 and is based in Orem, Utah. 1-800 CONTACTS, Inc. is a former subsidiary of Anthem, Inc.",1-800 Contacts is a retailer of contact lenses and is dedicated to making it easier for consumers to purchase contact lenses.
10% Happier,tenpercent.com,10% Happier is a meditation app offering guided meditations and practical teachings.,"10 Percent Happier, Inc. develops a mobile application for learning, practicing, and tracking of meditation behaviors. The company develops course platform that offers videos, articles, and podcasts from experts that enable to create a transformed change in the community. It also publishes books that is filled with practical meditation instructions. 10 Percent Happier, Inc. was formerly known as Change Collective, Inc. The company was founded in 2013 and is based in Boston, Massachusetts.",100Plus is the fastest-growing Remote Patient Monitoring Platform for doctors to manage their chronic patients to avoid episodic care.
100Plus,100plus.com,"100Plus is a smartwatch that perpetually monitors and analyzes users' 24-7 heart activity. In the case of a life-threatening emergency, 100Plus will instantly alert the user, their loved ones, and emergency responders in real-time, helping ensure immediate care delivery and potentially saving the user's life.","100Plus provides interactive health application that leverages clinical datasets to show personalized predictions of future health. The company is based in San Francisco, California. As of February 27, 2013, 100Plus operates as a subsidiary of Practice Fusion, Inc.",Applause - Making Weight Loss Work
180 Health Partners,180healthpartners.com,180 Health Partners partners with expecting mothers to turn the tide of prenatal substance use resulting in the delivery of healthy thriving babies.,"180 Health Partners, Inc. provides services related to substance use and behavioral health challenges. The company offers The 180 Way program through which it provides care by combining personalized interdisciplinary treatment with a relationship-based support ecosystem; and StrongWell program that helps expecting mothers to turn the tide of prenatal substance use. Its services help expectant mothers to overcome addiction and deliver healthy babies. The company was incorporated in 2016 and is based in Franklin, Tennessee. As of March 18, 2021, 180 Health Partners, Inc. operates as a subsidiary of Mindoula Health, Inc.",180 Health Partners provides multi-modal care coordination between opioid addicted mothers and healthcare providers.
19Labs,19labs.com,"19Labs offers GALE, a point-of-care solution that provides connected access to healthcare through connected kiosks and tablets, smart diagnostic devices, and an intelligent deployment platform and management system. GALE solutions comprise a range of digital devices that allow patients to connect with healthcare providers via video calls, contact an on-call practitioner for immediate assistance, and make real-time diagnostic readings on the spot and share them with a doctor.","19Labs, Inc. develops and offers GALE Telehealth 2.0 point of care solution with a deployment platform and management system. The company offers GALE FLORENCE, a compact telehealth solution with storage for first aid supplies and diagnostic devices; GALE MINI, a complete collection of diagnostic devices packed in a briefcase; and GALE MAX, a tabletop kiosk for offices that includes a large screen, built in storage, and charging for diagnostic devices. It offers a range of digital devices that allow patients to virtually connect to healthcare providers via video calls, invite an on-call practitioner for immediate assistance, and take diagnostic readings on the spot to share with the doctor in real-time. It serves consumers, medical care providers, and employers. The company was founded in 2015 and is based in Redwood City, California with an additional office in Brentwood Bay, Canada.","Bringing The Clinic to you. Solution for Healthcare Providers that brings together Telehealth, RPM and smart diagnostic devices"
1st Rescue,1strescue.com,"1st Rescue uses software with drone, medical and network technology as a survival solution for victims of trauma and Sudden Cardiac Arrest.","1st Rescue, Inc. provides services using software technology to the victims of trauma and cardiac arrest. The services include 1st Rescue Drones, Tele-MedKits and Apps. 1st Rescue, Inc. was formerly known as Rabbit Drones, Inc. and changed its name to 1st Rescue, Inc. in January, 2017. The company was incorporated in 2016 and is based in Jacksonville Beach, Florida.",1st Rescue provides mission critical aerial support to Emergency Operations personnel.
1upHealth,1up.health,"1upHealth is a patient data aggregation platform for app developers, providers, and patients.","1UPHEALTH, INC operates a health data aggregation and centralization platform that secures data transmission between health systems and consumer applications. Its platform combines health data from various electronic medical record systems into a consolidated digital health record that the user can control and share with the provider. The company's solutions include CMS Rule Payer Platform Integrated platform to meet CMS Interoperability mandate; FHIR API Platform, a fully managed FHIR API service in the cloud; and EHR Integration, a tool for reading and writing on any EHR using FHIR APIs. In addition, it offers provider application that helps to interact with patient data from other systems in your EHR and patient application for managing and sharing data from health systems. The companyÂ’s platform also enables providers to view the data and query the most up-to-date patient data from across multiple connected health systems. In addition, its platform allows developers to get clinical data from various clinics and hospitals. 1UPHEALTH, INC was incorporated in 2017 and is based in Boston, Massachusetts.",1upHealth is a health-tech company that builds products for the future of healthcare.
3PointData,3pointdata.com,3PointData helps companies deliver workflow-based solutions to their employees and customers.,"3PointData powers the Customer Experience. 3PointData is in stealth mode, but we can tell you that we help decision makers act quickly and confidently.",3PointData powers the Customer Experience
4D Healthware,4dhealthware.com,"4D Healthware is putting people in control of their health by connecting the robust technology available with mobile devices, wearable sensors and health data. The company's ultimate goal is to foster informed lifestyle change, and make wellness and preventive care the driving force in the healthcare equation.","4D Healthware LLC develops a platform to help chronic disease patients to monitor their health from mobile devices. Its platform uses information from each patientÂ’s health history and real-time data gathered from devices to provide a recommended care plan, which is accessible from computers, tablets, and IOS or Android mobile devices. The companyÂ’s platform also offers technological, nursing, and coaching resources to healthcare providers to deliver chronic care management services. 4D Healthware LLC was founded in 2011 and is based in Chicago, Illinois.",4D Healthware is patient engagement software that makes personalized medicine possible through connected data.
4D Path,4dpath.com,4D Path creates non-obvious new technologies to universally detect any cancer and its subtypes.,"4D Path, Inc. operates an integrated clinical diagnostic platform for biopsy images. The company was incorporated in 2016 and is based in Newton, Massachusetts.",Unveiling hidden data to instantly provide biomarker profiling & stratification just from H&E biopsy images
