Companies,URL,CBInsightsDescription,QuidDescription,CrunchbaseDescription
3DSim,3dsim.com,3DSim is building software solutions to provide insight into metal 3D printing processes by simulating the metal additive manufacturing process.,"3DSIM, LLC develops simulation software for metal additive manufacturing. The company was founded in 2015 and is based in Park City, Utah. As of November 15, 2017, 3DSIM, LLC operates as a subsidiary of Ansys, Inc.","3DSIM, the developer of premier additive manufacturing simulation technology."
Alibre,alibre.com,"Alibre is a developer of 3D CAD solutions offering easy-to-deploy applications for 3D solid modeling, real-time team design, and data sharing.","As of July 18, 2011, Alibre, Inc. was acquired by 3D Systems Corporation. Alibre, Inc. provides geomatic design software solutions. It offers professional CAD software solutions that include geomagic design solutions, such as sheetmetal design, surfacing, configuration, direct editing, dynamic, vault, and extra import/export solutions; and geomagic design elements, including 3D model creation, 2D documentation, part library, rendering, and import/export elements. The company also provides 3D design-to-manufacturing solutions that include 3D printers for homes, multi-material and triple color printers, high-resolution printers, cube 3D printers, and previous generation printers; print materials; and cloud sourced custom parts. In addition, it offers healthcare solutions, such as integrated 3D planning and printing for personalized surgery and patient specific medical/dental devices; and training and support services. The companys solutions are used to design, create, communicate, plan, guide, prototype, and produce functional parts, devices, and assemblies for manufacturing applications. It offers its products online; and through resellers. The company was founded in 1997 and is based in Richardson, Texas.",Alibre specializes in providing affordable complete engineering solutions.
Arotech,arotech.com,Arotech Corporation is a defense and security company engaged in two business areas: interactive simulation and mobile power systems.,"Arotech Europa provides defense and security products for the military, law enforcement, and homeland security markets. The company offers batteries and power systems, simulation and training, and armored vehicles. Arotech Europawas founded in 2004 and is headquartered in Berlin, Germany. The company operates as a subsidiary of Arotech Corp.",Arotech is a technology engineering company providing portable energy solutions.
Autodesk,autodesk.com,"Autodesk (NASDAQ:ADSK) offers 3D design, engineering and entertainment software. Customers across the manufacturing, architecture, building, construction, and media and entertainment industries use Autodesk software to design, visualize, and simulate ideas.","Autodesk, S.A. designs software for entertainment, natural resources, manufacturing, engineering, construction, and civil infrastructure sectors. The company was founded in 1990 and is based in Barcelona, Spain. Autodesk, S.A. operates as a subsidiary of Autodesk, Inc.","Autodesk develops 3D design software for use in the architecture, engineering, construction, and media industries."
Avineon,avineon.com,"Avineon provides IT, engineering, plant design automation, computer-aided design, technical support for analysis of aviation prodcedures, and photogrammetric and environmental mapping services for the Departments of Defense and Homeland Security, local and state governments, and utilities.","Avineon NV provides information technology consulting, engineering support, and geospatial services to government and commercial sectors. The company was founded in 2004 and is based in Lier, Belgium. Avineon NV operates as a subsidiary of Avineon, Inc.",Avineon is an information technology company specializing in engineering support and emergency management.
C3.ai,c3.ai,"C3.ai (NYSE: AI) is an AI software provider that delivers the C3 AI Suite for developing, deploying, and operating large-scale AI, predictive analytics, and IoT applications at scale for any enterprise value chain in any industry. The core of the C3.ai offering is a model-driven AI architecture that enhances data science and application development. C3.ai's pre-built applications, for a variety of industries, include predictive maintenance, fraud detection, supply network optimization, energy management, and anti-money laundering.","C3.ai, Inc. operates as an enterprise artificial intelligence (AI) software company in North America, Europe, the Middle East, Africa, the Asia Pacific, and internationally. It offers software-as-a-service applications for enterprises. Its software solutions include C3 AI Suite, a platform-as-a-service application development and runtime environment that enables customers to design, develop, and deploy enterprise AI applications; C3 AI Ex Machina to analysis-ready data; and C3 AI CRM, an AI-first customer relationship management solution to drive customer-facing operations. It also offers C3 AI applications, including C3 AI Inventory Optimization, a solution to optimize raw material, in-process, and finished goods inventory levels; C3 AI Supply Network Risk, which provides visibility into risks of disruption throughout the supply chain operations; C3 AI Customer Churn Management, which enables account executives and relationship managers to monitor customer satisfaction, as well as to prevent customer churn with AI-based and human-interpretable predictions and warning; C3 AI Production Schedule Optimization, a solution for scheduling production; C3 AI Predictive Maintenance, which provides insight into asset risk to maintenance planners and equipment operators; C3 AI Fraud Detection solution that identify revenue leakage or maintenance and safety; and C3 AI Energy Management solution. In addition, it offers integrated turnkey enterprise AI applications for oil and gas, chemicals, utilities, manufacturing, financial services, defense, intelligence, aerospace, healthcare, and telecommunications market segments. It has strategic partnerships with Baker Hughes in the areas of oil and gas market; FIS in the areas of financial services market; Raytheon; and AWS, Intel, and Microsoft. The company was formerly known as C3 IoT, Inc. and changed its name to C3.ai, Inc. in June 2019. C3.ai, Inc. was incorporated in 2009 and is headquartered in Redwood City, California.",C3 AI is a provider of Enterprise AI software for accelerating digital transformation.
CADMIN Services,cadminservices.com,CADMIN Services is a full service reseller focusing in on the Computer Aided Design/Computer Aided Manufacturing/Computer Aided Engineering (CAD/CAM/CAE) market.,"CADMIN Services, Inc. distributes software solutions. The company is based in in O Fallon, Missouri. As of July 11, 2019, CADMIN Services, Inc. was acquired by D3 Technical Services, LLC.",CADMIN Services is a full service Value Added Reseller focusing in on the CAD/CAM/CAE market.
Cityzenith,cityzenith.com,"Cityzenith aggregates the project data and software for building-industry professionals into a single tool through the company's platform, Smart World Pro. Smart World Pro is a digital twin solution for buildings and cities. It aggregates, queries, visualizes and analyzes data into a 3D dashboard.","Cityzenith Inc. develops data visualization platform software and applications for IoT and Smart Cities. It provides Smart World Pro, a platform for people to design, construct, and manage large-scale building projects, properties, and real estate portfolios; and an online investment platform. It serves organizations, government departments, and commercial enterprises worldwide. Cityzenith Inc. was formerly known as Screampoint, LLC. The company was founded in 2000 and is based in Chicago, Illinois with additional offices in London, United Kingdom; and Singapore. As of April 23, 2008, Cityzenith Inc. operates as a subsidiary of Satellier, Inc.",Cityzenith is a technology startup that provides data visualization platform software and applications for IoT and Smart Cities.
Computer Aided Technology,cati.com,"Computer Aided Technology provides 3D design and engineering solutions across the product development continuum, including 3D CAD, 3D CAE, PDM and PLM software, 3D printing and scanning hardware, and other related technologies and consulting, training and support services.","Computer Aided Technology, Inc. distributes and implements software and hardware solutions for 3D solid modeling and analysis, and enterprise wide data management. It offers SolidWorks 3D design software to design products; analysis and simulation software; 3DVIA Composer that helps clients to create product manuals, interactive 3D animations, and videos; and 3d navigation devices. The company also provides Connexus, a solution suite that allows clients to streamline and automate information flow required to support business needs; 3DQuickTools that provides blanking development, strip layout design, and die set structure design solutions; 3DQuickMold, a plastic mold design solution; MoldWorks, a 3D solid based mold design application that delivers design tools for the injection molding industry; and SplitWorks, a software solution to automate the process of core and cavity separation and creation for plastic molding, blow molding, sheet metal, aluminum injecting, investment casting, and wax molding for ceramics technology. In addition, it offers E3WireWorks Zuken, a Zuken's Windows based system for the engineering design of wiring, harnesses, cable assemblies, control panels, hydraulics, and pneumatics; SolidWorks Routing that automates and accelerates the process of routing tubes, pipes, electrical cables, cable harnesses, and electrical conduits; and Office2PDM, an addition for Microsoft Office that brings the document management functions of SolidWorks Enterprise PDM directly into Microsoft Word, Excel, and PowerPoint. Further, the company provides professional development, rapid prototyping, implementation, and deployment services; classroom and virtual classroom training, and eLearning services; and network installation and configuration services. It serves manufacturing industries in the United States and internationally. The company sells its products online. Computer Aided Technology, Inc. was founded in 1992 and is based in Buffalo Grove, Illinois with additional locations in Colorado, Illinois, Indiana, Kansas, Kentucky, Michigan, Missouri, Minnesota, New Mexico, Ohio, Oregon, Washington, and Wisconsin.","Computer Aided Technology is a computer software firm specializing in Stratasys, 3D printers, and SolidWorks simulation services."
Dyndrite,dyndrite.com,"Dyndrite is developing software for the design, manufacturing and additive marketplace. Dyndrite aims to increase the workflow and efficiency of additive manufacturing technicians.","Dyndrite Corporation develops a manufacturing software. The company provides computational geometry engine and additive toolkit (AT) for the performance, capabilities, and productivity for design, engineering, and manufacturing marketplaces. It also offers the Dyndrite accelerated geometry kernel that provides foundation for developing application and print drivers for 3D printers. It also provides 3D powder bed fusion metal printers and QuantAM build preparation software. The company was incorporated in 2016 and is based in Seattle, Washington.",It develops a manufacturing software. 
