Companies,URL,CBInsightsDescription,QuidDescription,CrunchbaseDescription
3D Robotics,3dr.com,"3D Robotics provides fully-autonomous aircraft and open UAV platforms. Its applications include agriculture, search and rescue, wildlife management, video production, environmental science, and medicine.On June 11th, 2021, 3D Robotics was acquired by Kitty Hawk. The terms of the transaction were not disclosed.","3D Robotics, Inc. manufactures drones. The company also offers flight control applications and consulting services. It serves the United States government customers and their vendors in construction, engineering, and public safety segments through a network of resellers worldwide. The company was founded in 2009 and is based in Berkeley, California. As of June 13, 2021, 3D Robotics, Inc. operates as a subsidiary of Kitty Hawk Corporation.","3DR makes advanced drone technology easily accessible to the construction, mining, and surveying industries for use in data analysis."
Accel Robotics,accelrobotics.com,Accel Robotics is a company that has developed a 360-degree visual intelligence that enables robots to see and interact with humans while gathering behavioral data.,"Accel Robotics Corporation develops an artificial intelligence-enabled smart shopping assistant that acts as a brand ambassador in retail stores. It offers OMNIO robot that helps companies to deliver smarter service by enabling grab and go commerce experiences and powering robotic shopping assistants. Accel Robotics Corporation was incorporated in 2015 and is based in La Jolla, California. It has additional offices in Tokyo, Japan; and Buenos Aires, Argentina.",Accel Robotics develops a 360-degree visual intelligence platform intended to improve customer experiences.
AirMap,airmap.com,"AirMap is a free, comprehensive digital map that allows unmanned aircraft system (UAS or drone) operators to visualize the airspace around them, including areas where they may not be permitted to fly. The platform provides real-time traffic management services, allowing drones and their controllers to share data needed to fly safely at low altitudes.","Airmap Limited offers photography services. Airmap Limited was incorporated in 2019 and is based in Huddersfield, United Kingdom.",AirMap operates as an airspace services platform for unmanned aircraft.
Airobotics,airoboticsdrones.com,"Airobotics provides an end-to-end, automatic solution for collecting aerial data. Airobotics' end-to-end automated drone platform is purpose-built to simplify drone operations. Airobotics' robotic airbase, multi-sensor drone, and AI-driven analytics automate the digitization of sites and cities through high-frequency data collection, processing, visualization and analysis.","Airobotics Ltd. manufactures automated industrial drones that are used for inspection, surveying and mapping, and security and emergency response applications. It serves mining, seaport, oil and gas, and industrial markets. The company was founded in 2014 and is based in Petah Tikva, Israel.","Airobotics provides an end-to-end, fully automatic solution for collecting aerial data and gaining invaluable insights."
AlterG,alterg.com,"AlterG builds technology for physical rehabilitation, training and wellness with the goal of enabling people to sustain healthy and active lives through mobility. The company's products, the Anti-Gravity Treadmills and the AlterG Bionic Leg, are designed to enhance personal mobility and wellness. Its Anti-Gravity Treadmills use Differential Air Pressure (DAP) technology, originally developed at NASA, to unweight patients to as low as 20% of their body weight, enabling them to walk or run with reduced impact. The Bionic Leg, designed for patients with neurological and orthopedic gait disorders, is a robotic assistive device that is activated by patient initiated movement and provides stability and assistance for a full range of mobility training.","Alterg designs and prepares mesoporous nano materials used for energy storage including batteries, hydrogen tanks, and more. The company was founded in 2002 and is based in Grasse, France.",AlterG is a company researching pressure-unweighting technology in producing Anti-Gravity Treadmillâ„¢ for physical therapy and training.
AMP Robotics,amprobotics.com,"AMP Robotics is an industrial artificial intelligence and robotics company that is changing the economics of material recovery and recycling. AMPâ€™s technology automates the identification, sorting, and processing of material streams to extract maximum value for material recovery facilities (MRFs) that process municipal solid waste, construction and demolition, e-waste, and auto-shredding. AMP's engineering design lowers the cost of capital investment with fast modular implementation easily dropping into existing facility infrastructure without costly retrofits or interruption to operations.","AMP Robotics Corporation designs and manufactures robotic systems for material recovery facilities and recycling businesses that automate the identification, sorting, and processing of complex waste streams. It offers AMP Cortex, a robotics control system that picks and sorts recyclable materials while reducing sorting costs; AMP Neuron, a software solution that captures the material on the recycling lines as valuable data to distinguish features in much the same way as the human eye; and hosted solutions. It serves single-stream recycling, electronic waste, and construction and demolition industries. AMP Robotics Corporation was formerly known as Cognitive Robotics LLC and changed its name to AMP Robotics Corporation in October 2017. AMP Robotics Corporation has a strategic partnership with First Star Recycling. The company was incorporated in 2014 and is based in Louisville, Colorado.",AMP Robotics creates AI-based robotic systems that sort recyclable material at a fraction of the cost of the current technology.
Aria Insights,ariainsights.com,"Aria Insights provides autonomous robotic teammates that can enter logistically difficult and potentially dangerous environments to collect essential information while keeping users safe. The company combines artificial intelligence (AI) with autonomous drones to both collect and analyze data. As a full-service provider, Aria Insights ensures that the public safety, oil & gas, and other commercial sectors have safe access to higher quality information that enables insightful decision making on everything from facility maintenance to crowd control.","Aria Insights, Inc. went out of business. Aria Insights, Inc. provides aerial solutions for defense, oil and gas, public safety and security, and telecommunication industries. The company offers pocket flyer tethered drones and persistent aerial reconnaissance and communications vehicle systems that opens the unmanned aerial vehicle (UAV) market to commercial customers. It also provides autonomous robotic teammates that collect and analyze data to create actionable insights for users by using artificial intelligence. Aria Insights, Inc. was formerly known as CyPhy Works Inc. and changed its name to Aria Insights, Inc. in March 2019. The company was founded in 2008 and is based in Danvers, Massachusetts.",Aria Insights develops unmanned air vehicles for search and rescue missions and bridge inspections.
Auris Health,aurishealth.com,"Auris Health is integrating robotics, micro-instrumentation, endoscope design, sensing, and data science into one platform to enhance physician capabilities.","Auris Surgical Robotics, Inc. develops robotics platform for diagnostic and therapeutic bronchoscopic procedures. Its product includes Monarch Platform for endoscopy, which uses small cameras and tools to enter the body through its natural openings. The company designs novel dual-arm microsurgical system for ophthalmic surgery. Auris Health, Inc. was formerly known as Auris Surgical Robotics, Inc. The company was incorporated in 2007 and is based in Redwood City, California. Auris Health, Inc. operates as a subsidiary of Johnson & Johnson.",Auris Health engages in the development of robotics technology for medical applications.
Bear Robotics,bearrobotics.ai,"Bear Robotics uses artificial intelligence to create restaurant robots that help customers receive improved dining experience, employees with greater job satisfaction and owners with an increase in profit margins. Bear Robotics has created Penny, the bowling pin-shaped restaurant robot runner, which can autonomously shuttle food from the kitchen out to tables and bring dirty dishes back for cleaning.","Bear Robotics, Inc. designs and manufactures a pedestal-shaped self-driven robot for food services. It provides Penny, an artificial intelligence-based automated robot that shuttles food, dishes, and drinks, as well as provides customer services in restaurants. The company serves restaurants. Bear Robotics, Inc. was incorporated in 2017 and is based in Redwood City, California.",Bear Robotics reshapes food service with robotics and artificial intelligence.
Blue Belt Technologies,bluebelttech.com,"Blue Belt Technologies is developing the next generation of ""smart"" surgical instruments for initial use in orthopedic procedures and then for other surgical specialties including neurosurgery, spinal and otolaryngology (""ENT""). The Company's Navio System incorporates patented technology to provide precise robotic control to surgeons via an intelligent, handheld, computer-assisted bone cutting tool. The Navio System provides the surgeon with a layer of safety and enhanced accuracy while performing bone shaping tasks through minimally invasive incisions. The Company's STRIDE Unicondylar Knee system provides advanced implant features optimized for use with Navio.","Blue Belt Technologies, Inc. develops and commercializes robotics-assisted technologies for use in orthopedic surgery and other specialties. It offers Navio surgical system, a differentiated handheld robotic technology that helps surgeons deliver precise and consistent results for their patients. Blue Belt Technologies, Inc. was founded in 2003 and is based in Plymouth, Minnesota. As of January 4, 2016, Blue Belt Technologies, Inc. operates as a subsidiary of Smith & Nephew plc.",Blue Belt Technologies is a medical device company that focuses on technology and capabilities of surgical instrumentation.
Blue River Technology,bluerivertechnology.com,"Blue River Technology creates and delivers advanced technology for better agriculture. The company's approach utilizes computer vision and robotics to build a future that 'makes every plant count' - where the needs of each plant are precisely measured and instantly responded to, significantly reducing chemical and nutrient use. The company brings substantial experience in precision agriculture, robotics, computer vision and machine learning.","Blue River Technology Inc. engages in developing computer vision and robotics technology based equipment for agricultural applications. Its technology identifies weeds and selectively kills unwanted plants. The companyÂ’s automated solution is suitable for organic agriculture and fields with chemical-resistant weeds. Blue River Technology Inc. was founded in 2011 and is based in Sunnyvale, California with additional offices in Salinas, California and Yuma, Arizona. As of September 12, 2017, Blue River Technology Inc. operates as a subsidiary of Deere & Company.",Blue River Technology employs computer vision and robotics technologies to build intelligent solutions for the agricultural industries.
Boston Dynamics,bostondynamics.com,"Boston Dynamics builds advanced robots. Boston Dynamics began as a spinoff from the Massachusetts Institute of Technology in 1992 and does work with the military.On December 9th, 2020 Hyundai Motor company acquired a majority stake in Boston Dynamics at a valuation of $1100M.","Boston Dynamics, Inc. engages in designing and building mobile robots. The companyÂ’s products include Spot, Stretch, and Atlas, as well as Pick, a computer vision-based robotics solution for logistics. Its product Spot is an automate sensing and inspection, capture limitless data, and exploring robot, which includes Spot Arm that act on data insights and perform physical work in people-centric environments, and payloads. The companyÂ’s products also include Stretch, a mobile, automated case handling for more efficient warehouse operations; and Pick, an automate complex depalletizing using a machine learning vision system. Its products Spot and Pick are available for sale for commercial, industrial, enterprise and university research use. The company was incorporated in 1992 and is headquartered in Waltham, Massachusetts.",Boston Dynamics is an engineering company that specializes in building dynamic robots and software for human simulation.
BUILT Robotics,builtrobotics.com,BUILT Robotics retrofits construction equipment with modern sensor technology used in autonomous vehicles.,"Built Robotics Inc. develops automation technology solutions for the construction industry. It develops AI guidance systems to transform heavy equipment into autonomous robots, which combines various sensors, such as GPS, cameras, and Lidar with advanced software. The companyÂ’s guidance systems are deployed on earthmoving equipment, and used to build critical infrastructure, such as wind farms, oil and gas pipelines, mining, and new housing developments. Built Robotics Inc. was founded in 2016 and is headquartered in San Francisco, California.",Built Robotics transforms heavy equipment into autonomous robots for the $1 trillion earthmoving industry.
Chowbotics,chowbotics.com,"Casabots, dba Chowbotics, is a company that is building robots to help with food prep. Chowbotics' robots can dispense and dish out food, negating the need for humans. The company's first product is Sally, a salad robot capable of serving up measured quantities of more than 20 different ingredients.On February 8th, 2021, Chowbotics was acquired by DoorDash. The terms of the transaction were not disclosed.","Chowbotics, Inc. designs and develops food service robots to prepare food in restaurants, cafeterias, and hotels, as well as food courts in airports, malls, and hospitals. It offers Sally, a salad-making robot. Chowbotics, Inc. was formerly known as Casabots, Inc. and changed its name to Chowbotics, Inc. in March 2017. The company was founded in 2014 and is based in Hayward, California. As of December 31, 2020, Chowbotics, Inc. operates as a subsidiary of DoorDash, Inc.",Chowbotics is an industrial automation company that applies designs robotics into the food industry.
Cobalt Robotics,cobaltrobotics.com,Cobalt Robotics is developing robots for enterprise security that are designed to work alongside humans. Cobalt's robots keep offices safe by patrolling the premises and looking for intruders or anything out of the ordinary.,"Cobalt Robotics, Inc. builds indoor robots that work alongside human guards to provide security. It offers indoor security robots that do patrolling in the premises, as well as look for intruders or anything that's out of the ordinary; and comprise intruder and anomaly detection, human-robot interaction, and mapping and sensing capabilities. The company offers robotics for warehouse, school, office, hospital, data center, and museum security. Cobalt Robotics, Inc. was incorporated in 2016 and is based in San Mateo, California.","Cobalt Robotics is a service robotics company designed to enhance operational effectiveness, starting with physical security and facilities."
ColubrisMX,colubrismx.com,"ColubrisMX is a medical device company that designs and develops the next generation of microsurgical robotic devices. These state-of-the-art, minimally invasive, microsurgical robots will perform procedures in delicate regions of the body that cannot be accessed by current technology.","ColubrisMX is a medical device company that designs and develops the next generation of microsurgical robotic devices. These state-of-the-art, minimally invasive, microsurgical robots will perform procedures in delicate regions of the body that cannot be accessed by current technology.",ColubrisMX is developing a minimally invasive miscrosurgical robotic device.
